f,year,month,day,utc_time,date
2017-03-22_strip_441742_composite.tif,2017,3,22,09:14:13,2017-03-22
2017-05-15_strip_510767_composite.tif,2017,5,15,18:23:33,2017-05-15
2017-06-07_strip_536006_composite.tif,2017,6,7,18:23:16,2017-06-07
2017-06-09_strip_538931_composite.tif,2017,6,9,18:23:55,2017-06-09
2017-06-11_strip_543140_composite.tif,2017,6,11,18:24:51,2017-06-11
2017-06-12_strip_544265_composite.tif,2017,6,12,09:15:08,2017-06-12
2017-06-14_strip_549726_composite.tif,2017,6,14,18:24:50,2017-06-14
2017-07-23_strip_640224_composite.tif,2017,7,23,09:14:34,2017-07-23
2017-09-03_strip_730020_composite.tif,2017,9,3,08:15:12,2017-09-03
2018-02-20_strip_1194219_composite.tif,2018,2,20,09:24:19,2018-02-20
2018-03-03_strip_1230877_composite.tif,2018,3,3,09:23:07,2018-03-03
2018-03-15_strip_1270543_composite.tif,2018,3,15,09:22:32,2018-03-15
2018-04-08_strip_1336414_composite.tif,2018,4,8,09:21:57,2018-04-08
2018-05-01_strip_1393021_composite.tif,2018,5,1,09:24:21,2018-05-01
2018-05-08_strip_1410443_composite.tif,2018,5,8,09:25:11,2018-05-08
2018-05-10_strip_1415873_composite.tif,2018,5,10,09:24:46,2018-05-10
2018-05-11_strip_1418423_composite.tif,2018,5,11,09:25:23,2018-05-11
2018-05-15_strip_1427337_composite.tif,2018,5,15,07:36:32,2018-05-15
2018-05-16_strip_1430451_composite.tif,2018,5,16,09:25:25,2018-05-16
2018-05-18_strip_1434876_composite.tif,2018,5,18,07:37:24,2018-05-18
2018-05-25_strip_1453028_composite.tif,2018,5,25,09:23:26,2018-05-25
2018-06-16_strip_1504163_composite.tif,2018,6,16,07:33:47,2018-06-16
2018-07-03_strip_1540255_composite.tif,2018,7,3,07:29:50,2018-07-03
2018-07-14_strip_1564244_composite.tif,2018,7,14,09:24:49,2018-07-14
2018-07-19_strip_1574891_composite.tif,2018,7,19,09:26:31,2018-07-19
2018-07-28_strip_1593361_composite.tif,2018,7,28,09:27:08,2018-07-28
2018-08-24_strip_1652654_composite.tif,2018,8,24,09:28:07,2018-08-24
2018-09-09_strip_1687759_composite.tif,2018,9,9,09:27:47,2018-09-09
2019-03-02_strip_2165851_composite.tif,2019,3,2,09:23:00,2019-03-02
2019-03-11_strip_2193733_composite.tif,2019,3,11,09:27:54,2019-03-11
2019-03-17_strip_2210292_composite.tif,2019,3,17,09:27:57,2019-03-17
2019-03-22_strip_2223292_composite.tif,2019,3,22,09:29:19,2019-03-22
2019-03-22_strip_2223329_composite.tif,2019,3,22,09:46:55,2019-03-22
2019-04-04_strip_2256661_composite.tif,2019,4,4,06:48:46,2019-04-04
2019-04-25_strip_2311533_composite.tif,2019,4,25,09:30:12,2019-04-25
